Plate #	Row	Column	ORF
3	N	10	YMR061W
3	N	11	YHR161C
3	N	12	YDR452W
3	N	13	YDR477W
3	N	14	YLR427W
3	N	15	YKL204W
3	N	16	YML088W
3	N	17	YDR365C
3	N	18	YML020W
3	N	19	YDR425W
3	N	20	YMR137C
3	N	21	YOR171C
3	N	22	YPL104W
3	N	23	YAR007C
3	N	24	YOL113W
3	O	1	BLANK
3	O	2	YPL119C
3	O	3	YPR171W
3	O	4	BLANK
3	O	5	YER124C
3	O	6	YLR401C
3	O	7	YLR259C
3	O	8	YML057W
3	O	9	YLR120C
3	O	10	YGR194C
3	O	11	YDR110W
3	O	12	YGR246C
3	O	13	YCR065W
3	O	14	YLR028C
3	O	15	YDL042C
3	O	16	YIL172C
3	O	17	YMR145C
3	O	18	YIL015W
3	O	19	YPL086C
3	O	20	YJL186W
3	O	21	YBR196C
3	O	22	YML013W
3	O	23	BLANK
3	O	24	YML127W
3	P	1	YPL263C
3	P	2	YHR084W
3	P	3	YLR098C
3	P	4	YMR108W
3	P	5	BLANK
3	P	6	YMR075W
3	P	7	YER103W
3	P	8	BLANK
3	P	9	YKL048C
3	P	10	YMR104C
3	P	11	YOR070C
3	P	12	YBR212W
3	P	13	YHR114W
3	P	14	YKL029C
3	P	15	YCR061W
3	P	16	YBR121C
3	P	17	YKL155C
3	P	18	YDR137W
3	P	19	YHL027W
3	P	20	YNL197C
3	P	21	BLANK
3	P	22	YGL066W
3	P	23	BLANK
3	P	24	YPR179C
4	A	1	YGR255C
4	A	2	YDR036C
4	A	3	YGR002C
4	A	4	YFR010W
4	A	5	YPR047W
4	A	6	YJR122W
4	A	7	YHR036W
4	A	8	YOR269W
4	A	9	YER081W
4	A	10	YOL112W
4	A	11	YBR093C
4	A	12	YPR119W
4	A	13	YKL184W
4	A	14	YHR183W
4	A	15	YPR178W
4	A	16	YER133W
